KABUPATEN/KOTA;No;Nama Ruas ;Panjang Ruas Sesuai SK;Tiang Listrik;Tiang Provider ;Papan Reklame;
A. KOTA KUPANG;1;Jl. Yos Sudarso;3,89;154;383;15;
A. KOTA KUPANG;2;Sp. Tiga Terminal LLBK - Sp, Tiga Straat A;2,13;55;148;7;
A. KOTA KUPANG;3;Sp. Patung Sonbai - Sp, Tiga Bundaran Oebufu;5,1;135;939;21;
A. KOTA KUPANG;4;Jl. Frans Lebu Raya;2,55;55;324;50;
A. KOTA KUPANG;5;Jl. Mesakh Amalo;0,84;24;181;1;
A. KOTA KUPANG;6;Sp. Patung sonbai - Bello (Bts, Kota Kupang);9,74;332;725;230;
A. KOTA KUPANG;7;Jl. A. Nisnoni;6,62;136;656;10;
A. KOTA KUPANG;8;Sp. Polda - Sp. Patung Merpati;8,06;324;1017;98; -   
A. KOTA KUPANG;9;Jl. Amabi;2,27;80;251;13;
B. KABUPATEN MANGGARAI BARAT;10;Sp. Nggorang - Sp. Terang;32,9;515;11;0;
B. KABUPATEN MANGGARAI BARAT;11;Sp. Terang - Sp. Noa;23,4;375;0;0;
B. KABUPATEN MANGGARAI BARAT;12;Sp. Noa - Wontong (Bts. Kab. Manggarai);25,2;415;34;0;
B. KABUPATEN MANGGARAI BARAT;13;Sp. Noa - Golowelu (Bts. Kab. Manggarai);23,3;286;38;0;
C. KABUPATEN MANGGARAI;14;Nggalak (Bts. Manggarai Barat) - Kendindi;30,3;368;0;0;
C. KABUPATEN MANGGARAI;15;Reo - Wae Gongger (Bts. Kab. Manggarai Timur);0,6;11;0;0;
C. KABUPATEN MANGGARAI;16;Sp. Cumbi - Iteng;40,72;604;0;0;
D. KABUPATEN MANGGARAI TIMUR;17;Wae Gongger (Bts, Kab, Manggarai) - Pota;46,3;461;3;0;
D. KABUPATEN MANGGARAI TIMUR;18;Pota - Labuan Kelambu (Bts, Kab, Ngada);35;31;0;0;
D. KABUPATEN MANGGARAI TIMUR;19;Bealaing - Wae Rasan (Bts, Kab, Ngada);73,82;1131;0;0;
D. KABUPATEN MANGGARAI TIMUR;20;Borong - Nceang;24,52;423;309;0;
D. KABUPATEN MANGGARAI TIMUR;21;Sp. Dangka Mangkang - Dampek;50,83;576;36;0;
E. KABUPATEN NGADA;22;Mbazang (Bts, Kab, Manggarai Timur) - Sp, Waipana;35,92;438;0;1;
E. KABUPATEN NGADA;23;Malanuza - Maumbawa (Bts, Kab, Nagekeo);19,91;146;565;0;
E. KABUPATEN NGADA;24;Labuan Kelambu (Bts, Kab, Manggarai) - Riung;25,06;307;50;0;
E. KABUPATEN NGADA;25;Riung - Poma;30,22;674;1;0;
E. KABUPATEN NGADA;26;Poma - Bajawa;37,84;175;469;3;
E. KABUPATEN NGADA;27;Riung - Lengkosambi (Bts, Kab, Nagekeo);17,9;373;414;0;
F. KABUPATEN NAGEKEO;28;Nggolonio (Bts, Kab, Ngada) - Danga;18,8;318;378;0;
F. KABUPATEN NAGEKEO;29;Marapokot - Aeramo;6,66;117;100;0;
F. KABUPATEN NAGEKEO;30;Aeramo - Kaburea (Bts, Kab, Ende);34,5;502;80;0;
F. KABUPATEN NAGEKEO;31;Maumbawa (Bts, Kab, Ngada) - Sp, Gako;29,72;95;441;7;
G. KABUPATEN ENDE;32;Kaburea ( Bts, Kab, Nagekeo) - Ranakolo;37,24;569;0;0;
G. KABUPATEN ENDE;33;Detusoko - Maurole;48,65;427;444;0;
G. KABUPATEN ENDE;34;Maurole - Koro (Bts, Kab, Sikka);41,15;154;94;0;
G. KABUPATEN ENDE;35;Wologai - Detukeli;15,35;45;2;0;
G. KABUPATEN ENDE;36;Ende - Nuabosi;7,85;24;91;0;
H. KABUPATEN TIMOR TENGAH UTARA;37;Lemon (Bts. Kab. TTS) - Kefamenanu;36,85;271;502;2;
H. KABUPATEN TIMOR TENGAH UTARA;38;Eban - Sp. Saenam;5,36;14;4;0;
H. KABUPATEN TIMOR TENGAH UTARA;39;Maubesi - Sp. Manamas;33,48;46;4;0;
H. KABUPATEN TIMOR TENGAH UTARA;40;Keliting (Bts. Kab Belu) - Wini Sakato (Bts. Negara);47,83;1287;789;0;
I. KABUPATEN BELU;41;Teun (Bts. Kab. Malaka) - Halilulik;16,6;342;137;9;
I. KABUPATEN BELU;42;Atambua - Sp. Manleten;13,37;231;245;4;
I. KABUPATEN BELU;43;Sp. Dualasi - Weluli;10,37;162;156;0;
I. KABUPATEN BELU;44;Lakafehan - Keliting (Bts. Kab. TTU);5,25;102;149;0;
I. KABUPATEN BELU;45;Sp. Berluli- Teluk Gurita;6,14;119;0;0;
J. KABUPATEN MALAKA;46;Lamea (Bts, Kab, TTU) - Wanibesak;10,18;189;3;0;
J. KABUPATEN MALAKA;47;Wanibesak - Betun;25;534;457;0;
J. KABUPATEN MALAKA;48;Betun - Motamasin (Bts, Negara);30,06;676;532;2;
J. KABUPATEN MALAKA;49;Sp. Welaus - Kusa (Bts. Kab. Belu);20,57;261;201;0;
K. KABUPATEN SUMBA TIMUR;50;Sp, Mohubukul - Lumbung;18,95;10;0;0;
K. KABUPATEN SUMBA TIMUR;51;Melolo - Kananggar;49,05;448;35;0;
K. KABUPATEN SUMBA TIMUR;52;Kananggar - Sp, Aukakehok;13,2;101;2;0;
K. KABUPATEN SUMBA TIMUR;53;Sp, Aukakehok - Baing;48,81;225;5;0;
K. KABUPATEN SUMBA TIMUR;54;Sp. Aukakehok - Sp. Lailunggi;32,55;36;0;0;
K. KABUPATEN SUMBA TIMUR;55;Sp. Lailunggi - Malahar;42,66;36;0;0;
K. KABUPATEN SUMBA TIMUR;56;Malahar - Praipaha;53,33;816;63;0;
L. KABUPATEN SUMBA TENGAH;57;Wee Luri (Bts. Kab. Sumba Barat) - Mamboro;23,7;237;0;0;
M. KABUPATEN SUMBA BARAT;58;Waikabubak - Tana Rara (Bts, Kab, Sumba Tengah);13,78;;;;
M. KABUPATEN SUMBA BARAT;59;Waikabubak - Wanokaka;14,93;278;97;0;
M. KABUPATEN SUMBA BARAT;60;Sp. Padedeweri - Sp. Patiala;15,22;308;161;0;
M. KABUPATEN SUMBA BARAT;61;Sp. Patiala - Wetana (Bts. Kab. Sumba Barat Daya);31,73;;;;
N. KABUPATEN SUMBA BARAT DAYA;62;Karang Indah (Bts. Kab. Sumba Barat) - Bondokodi;22,5;368;12;0;
N. KABUPATEN SUMBA BARAT DAYA;63;Bondokodi - Waitabula;32,88;343;716;0;
N. KABUPATEN SUMBA BARAT DAYA;64;Radamata - Ketewer;15,25;168;166;0;
O. KABUPATEN KUPANG;65;Jl, Dalam K,I, Bolok;1,8;;;;
O. KABUPATEN KUPANG;66;Lingkar Luar Kota Kupang - Tablolong;17,4;280;575;14;
O. KABUPATEN KUPANG;67;Oelomin (Bts, Kab, Kupang) - Baun;15,1;170;669;8;
O. KABUPATEN KUPANG;68;Baun - Ekam;20,43;305;688;4;
O. KABUPATEN KUPANG;69;Oesao - Buraen;24,48;288;528;5;
O. KABUPATEN KUPANG;70;Oekabiti - Oemoro (Bts, Kab, TTS);55,1;316;307;7;
O. KABUPATEN KUPANG;71;Oelmasi - Sp, Sulamu;27,8;;;;
O. KABUPATEN KUPANG;72;Sp. Sulamu - barate;13;;;;
O. KABUPATEN KUPANG;73;Barate - Manubelon;36,9;491;281;0;
O. KABUPATEN KUPANG;74;Manubelon - Naikliu;36,4;146;0;0;
O. KABUPATEN KUPANG;75;Naikliu - Oepoli (Bts, Negara);27,9;19;0;0;
O. KABUPATEN KUPANG;76;Netemnanu (Bts, Kab TTS) - Sp, Noelelo;1,03;;;;
O. KABUPATEN KUPANG;77;Bokong - Lelogama;44,3;;;;
O. KABUPATEN KUPANG;78;Hansisi - Oesalaen;38,52;;;;
P. KABUPATEN TIMOR TENGAH SELATAN;79;Pollo (Bts, Kab TTS) - Sp, Panite;3,1;19;0;0;
P. KABUPATEN TIMOR TENGAH SELATAN;80;Batu Putih - Panite;22,23;14;21;0;
P. KABUPATEN TIMOR TENGAH SELATAN;81;Panite - Kolbano;47,88;20;8;0;
P. KABUPATEN TIMOR TENGAH SELATAN;82;Kolbano - Boking;51,76;84;0;0;
P. KABUPATEN TIMOR TENGAH SELATAN;83;Boking - Skinu (Bts, Kab, Malaka);9,15;;;;
P. KABUPATEN TIMOR TENGAH SELATAN;84;Soe - Kapan;16,8;197;527;1;
P. KABUPATEN TIMOR TENGAH SELATAN;85;Kapan - Nenas;25,75;194;286;0;
P. KABUPATEN TIMOR TENGAH SELATAN;86;Nenas - Nuapain (Bts, Kab, Kupang);20,3;0;0;0;
P. KABUPATEN TIMOR TENGAH SELATAN;87;Kapan - Fatumnutu (Bts, Kab TTU);23,43;598;209;0;
P. KABUPATEN TIMOR TENGAH SELATAN;88;Sp, Niki-Niki - Oenlasi;19,45;77;134;1;
P. KABUPATEN TIMOR TENGAH SELATAN;89;Oenlasi - Boking;30,92;508;0;0;
Q. KABUPATEN SIKKA;90;Koro (Bts, Kab, Ende) - Maumere;36,58;400;0;0;
Q. KABUPATEN SIKKA;91;Hepang - Sikka;8,65;37;0;0;
